Author,Published At,Like Count,Comment
@uzwaazha8374,2025-07-18T09:17:07Z,0,Aku paling lawak yang perempuan kaya kuda😅😂😂😂😂😂
@unguponzel9127,2025-07-18T09:08:10Z,0,Perempuan kayak kudany ngeden 😅😅
@sadlyaidil,2025-07-18T09:05:09Z,0,Ending yang membangongkn
@HamBali-s4n,2025-07-18T09:04:34Z,0,😂😂😂
@AbdulMunir-vo6ho,2025-07-18T09:03:34Z,0,Kiuamat coi
@amirhamzah7626,2025-07-18T08:59:41Z,0,😂😂😂
@AtosCopi,2025-07-18T08:55:29Z,0,Kok haya susanti kek kitu nada nya 😂
@BelaJ-v4b,2025-07-18T08:46:47Z,0,3
@BelaJ-v4b,2025-07-18T08:46:42Z,0,😂
@sejatiZalukhu,2025-07-18T08:42:51Z,0,nomor 2 anjir ngakak bet pokok nya semuanya nya lucu😂😂😂
@memespongebobbiasa2673,2025-07-18T08:41:59Z,0,Matahari di barat pertanda🤔
@JiwaJawara-j5d,2025-07-18T08:24:40Z,0,sekalian matahari di tanah🗿🙏
@JesiWahyu-u3u,2025-07-18T08:22:28Z,0,"Yang ke dua itu di balikpapan, di waduk wonorejo wkwk"
@imamyahyaimamyahya1754,2025-07-18T08:20:21Z,0,Terlalu dibuat buat
@vivianprayoga4005,2025-07-18T08:18:41Z,0,😂😂😂😂
@AngjeliRuni,2025-07-18T08:17:02Z,0,no 3 lagu sedih jadi tidak. hahhaah
@Indriani-pj9yz,2025-07-18T08:09:35Z,2,kalo matahari dibarat berati kiamat😄😂 dong
@amandaaputri-f6w,2025-07-18T08:00:51Z,0,😂😂😂
@DAYANGNURAIRAHAZIQAHBINTIAGHAS,2025-07-18T07:37:17Z,0,Allah huakbar hahahaha😂
@NaezTech,2025-07-18T07:31:24Z,0,BANYAK MUDA. Bukan Kayak Kuda. Lempang kang 😂
@BintangKurung-q3s,2025-07-18T07:30:45Z,0,Kocak banget 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
@DedeAazMuhtajunNasoih,2025-07-18T07:28:19Z,0,Di barat😂😂😂
@MuhammadHanif-l2v,2025-07-18T07:21:29Z,0,Yang pertama kaya kak galyas
@renosetyo1739,2025-07-18T07:16:09Z,0,AbyAn😅😅😅😅😅😅😅😅😅😅😅
@renosetyo1739,2025-07-18T07:14:52Z,0,😊😊😊😊😊😊😊
@hendrahse7929,2025-07-18T07:09:41Z,0,Petempuan kaya kuda
@eliermawati5904,2025-07-18T07:08:56Z,0,🤣🤣🤣🤣🤣🤣🤣
@WahyuRafael,2025-07-18T07:03:58Z,0,Kiamat jir🤣🤣🤣
@SophiaChen-l7h,2025-07-18T07:03:57Z,0,😂😂
@CHANNELBUSINDONESIA,2025-07-18T07:03:20Z,0,😂😂🤣🤣🤣
@WijiAstuti-y7g,2025-07-18T06:47:54Z,0,nomor 4lucu banget
@Ochagea-u9x,2025-07-18T06:43:51Z,0,"Nomor 2,4,5 itu dari channel apa?"
@AdeSunandar-t6u,2025-07-18T06:40:05Z,0,yg ke dua anak buah bpk aku
@welehweleh-m3s,2025-07-18T06:36:32Z,0,Harusnya matahari kiamat
@dazel_riel,2025-07-18T06:32:02Z,1,Lanang emang bedaa😂😂
@fahryhartanto2860,2025-07-18T06:27:35Z,0,"😂😂😂Saya Susanti kamu banyak utang tapi banyak gaya """"""😂😂"
@henyrachmawati259,2025-07-18T06:20:45Z,0,Yang 3 malah nasehati jirr
@SyellaSugawa-y7k,2025-07-18T06:13:44Z,0,"Cwok +62 emang kocak"" 😂"
@davineselma527,2025-07-18T06:12:47Z,0,NGAKAKKKK
@streamerclipper21,2025-07-18T06:11:15Z,0,The real cowok susah di tebak 😭🗿
@ikawidyastuti7646,2025-07-18T06:08:45Z,0,The real cowo susah di tebak kaya kakak ku 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
@shahdinamik30,2025-07-18T06:02:50Z,1,ngakak semuanya😂
@nizamactivitieschannel4484,2025-07-18T05:59:15Z,0,Kiamat heh😂😂😂😂
@ReyHuny,2025-07-18T05:58:06Z,0,"Ngakak banget 😂😂😂
Dirundung wibu"
@nizamactivitieschannel4484,2025-07-18T05:56:24Z,0,Ngakak banget 😂😂😂
@HappyMega-l6q,2025-07-18T05:55:14Z,0,Perempuan kayak kuda 😭😭😭😭😭
@DANIDANI-u7f2e,2025-07-18T05:53:35Z,0,🤣🤣🤣
@luthfiardiansyah4405,2025-07-18T05:53:09Z,0,"menangis lahhh,,,, jangann nangissssss😂😂😂😂😂"
@DARK_cat999,2025-07-18T05:52:20Z,0,"APA jangan jangan temen saya yang laki denger dari situ😂😂😂😭😭😭
Yang Pagi ku cerah ku matahari dibarat😂😂😂😂"
@Mochi_channel-ouo,2025-07-18T05:42:10Z,0,matahari di barat kiamagtt😭😭😭😭😭😭😭😭😭
@AltafRizky-m5d,2025-07-18T05:41:15Z,0,Pagi ku cerahku matahari di barat ku gendong tas merah ku ke akhirat
@Demy05-w7b,2025-07-18T05:05:21Z,0,Menurut aku fix sih ni 4 harus jadi no 1😂😂
@NoorMalasari-l5y,2025-07-18T04:46:48Z,0,"Susanti yg imut cantik dn pinter,, di bilang perempuan kaya kuda🤣🤣🤣🤣 asli ngakak wujud dn lagunya jauh bertolak belakang mas"
@marisas.n7472,2025-07-18T04:43:20Z,0,😂😂😂
@dimaspaturp,2025-07-18T04:42:54Z,1,lucu banget anjing babi ngentot
