Author,Published At,Like Count,Comment
@normayasmin8159,2025-07-18T08:42:36Z,0,"Malah baru tau kalok lagi hamil .. ..
 semngat y kak .."
@MariairmaJuniati,2025-07-18T08:42:36Z,0,tetap semangat mba gak semua org bisa sepertimu mba mempertahankan kandunganmu di situ kamu sudah sangat hebat ❤
@riotirta,2025-07-18T08:42:35Z,0,"Hmm.. nitip selop aj lah awak..
Nanti salah gmg pula.. 🤭"
@yanii4130,2025-07-18T08:42:34Z,0,Bapa dari anaknya siapa sihh???
@mfsulistiowati4855,2025-07-18T08:42:34Z,0,Ya ampuun ngidam aja hrs ditahan ttp kuat Er....biar bayimu jg sehat sd dia lahir ya .
@andhieniputri5812,2025-07-18T08:42:33Z,0,24JAM MAIN HP MASIH AJA AKU KETINGGALAN HOTNEWSS KAYA GINIII
@AyuDwikartikaWardani,2025-07-18T08:42:32Z,0,Bravy ato yg dj guyss
@Rippke,2025-07-18T08:42:30Z,0,trus pacarnya yg sekarang gimana?
@emitasya6379,2025-07-18T08:42:29Z,0,Cowoknya siapa ? Kan skrg ama vchonk kan?
@febrianarahmadani6614,2025-07-18T08:42:29Z,0,terpantau si P udh nonaktifkan komen di ig
@jessicalinch4837,2025-07-18T08:42:29Z,0,intinya bukan viconk ye
@mengcansworld8270,2025-07-18T08:42:27Z,0,Gue nonton ini bolak balik toktok penasaran siapa laki2 bajingan itu
@Shena-b4u,2025-07-18T08:42:26Z,0,"ini pasti promo film dah ujung ""ny"
@QoyimahBaru,2025-07-18T08:42:24Z,0,Saya pernah di posisi Erica tapi bedanya Erica Hamil dan saya baik-baik saja tp punya pasangan toxic itu memang dilema
@ChristinaRitaharyanti,2025-07-18T08:42:21Z,0,God bless mbak er 🙏🏻
@infounikkita7502,2025-07-18T08:42:21Z,0,Wkwkwkekekekek .... wkwkwkwkwkwkwk.... pentingnya IMAN
@nurfadilatuszuhria7297,2025-07-18T08:42:20Z,0,"Padahal pernah di kapal ini, tapi nggak nyangka yg cowok red flag banget sampe udah punya anak"
@Underidentity,2025-07-18T08:42:18Z,0,Profesinya apa awalnya
@dibo0711,2025-07-18T08:42:17Z,0,"Kesini gara"" liat SG Bravy"
@JohnDoe-cx1km,2025-07-18T08:42:16Z,0,Asli si Bravy baik banget sih mau terima Erica apa adanya
@fitrianastiti8135,2025-07-18T08:42:16Z,0,Nauzubillahmindzalik
@nomafitriah9857,2025-07-18T08:42:16Z,0,Beneran gasi
@lenymardiyantihrp3249,2025-07-18T08:42:13Z,0,siape sih lakinya?
@michaelsantosa1813,2025-07-18T08:42:12Z,0,Vconk x
@DiniJaya-fp8bs,2025-07-18T08:42:12Z,0,"Inilah akibatnya pergaulan bebasss karna kalau pergaulan bebasss pastinya akan begini, maka dari itu harus jaga diri baik2 jgn jadi cewe di belai2 cowo di anggep ni cowo syg tggung jwb KAGA WOIII .. Harus ad harga diri nya jadi cewe jgn GAMPANGAN. Kalau udh hamil ga ada bapanya itu SULIT."
@nurfatmawati8256,2025-07-18T08:42:11Z,0,"Om ded.
Kalo aku di posisi erica yg di tanya ""kenapa mau mempertahankan?""
Ini dari POV aku yg pernah MBA, kejadiannya udah 14th yang lalu,dan udah sangat sadar itu sepenuhnya kesalahan ku.
Aku pun ambil keputusan yg sama seperti mbak er,ngegedeiin anak sendirian.
Aku ambil keputusan buat tetep ngelahirin anak ku bukan sekedar tanggung jawab atas kebodohan,ketololan,kegatelan,dan aku hanya berusaha menerima hasil dari kesalahan yg udah aku buat sendiri.
Aku cuma nggak mau dosa ku dobel om,udah dosa zina,eh ketambahan dosa ngebunuh bayi ku sendiri."
@queenanitariskiana9856,2025-07-18T08:42:11Z,0,siapasi cowonya? kepo
@DheaWAndreya,2025-07-18T08:42:10Z,0,"Mba er.. you are strong woman.. meski itu kesalahan terbesar kamu, tp mempunyai anak adalah berkah buat kamu. Jadilah ibu yang bahagia dan jadikanlah anakmu anak yg bahagia."
@SuciYanti-q6j,2025-07-18T08:42:08Z,0,gw suka bgt sama erika tapi liat dia kaya gini gada respec respecnya gw
